event_key,date,week,month,event_type,title,summary,source_file,source_url,confidence,needs_review,monthly_followup_candidate
2026-09-16_japanese_malspam_manageengine_rmm_abuse,2026-09-16,2026-W38,2026-09,malware_campaign,日本語マルスパムによるManageEngine RMM悪用,振込完了通知や結婚式の招待を装う日本語マルスパムが、ZIP内のVHD/VHDXをマウントさせHTAを実行させる。HTA実行後はcurlで追加ZIPを取得し、msiexecでManageEngineのUEMS Agentをサイレントインストールして遠隔操作に悪用する。配布先はdnswwt[.]club、C2設定はinword[.]clubやjpword[.]ccが確認されている。,daily-news/news/2026_07-09/20260916.md,https://x.com/bomccss/status/2099746747514011969,high,false,yes
2026-09-16_donutloader_overlord_japanese_malspam,2026-09-16,2026-W38,2026-09,malware_campaign,納税通知を装う日本語マルスパムによるDonutLoader/Overlord配布,「所得税の確定申告に係る納税通知書」を件名とする日本語マルスパムがmjdou[.]vipへ誘導し、ZIP内のexeとevent.dllからDonutLoader経由でOverlordを実行させる。C2はdevin-us[.]comで、自称はTankRATだが同一faviconのためOverlordの改名と見られている。,daily-news/news/2026_07-09/20260916.md,https://x.com/bomccss/status/2099758827386319001,high,false,maybe
2026-09-16_centerpoint_energy_customer_data_theft,2026-09-16,2026-W38,2026-09,incident,CenterPoint Energy、サイバー攻撃で顧客データ窃取を確認,米公益企業CenterPoint Energyは、外部公開システムへの不正アクセスにより一部顧客の個人情報が窃取されたことをSEC提出書類で確認した。攻撃者「4d722e4d656f77」はレート制限やWAFのない公開APIのIDを順次探索し749万件の顧客記録を窃取したと主張している。電力・ガスサービスへの影響はなく、影響範囲は調査継続中。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/centerpoint-energy-confirms-customer-data-stolen-in-cyberattack/,high,false,yes
2026-09-16_bambootoken_mqtt_c2_campaign,2026-09-16,2026-W38,2026-09,malware_campaign,BambooTokenマルウェア、MQTT経由でWindowsとLinuxを制御,Lumenは、少なくとも2023年から活動するマルウェアBambooTokenが2024〜2025年の亜種でMQTTをC2通信に利用し、Windows・Linux端末を制御していると報告した。Windowsでは正規署名されたTendyron OnKeyのサイドローディングやKingsoft Officeへの偽装で実行され、アジア・南米を中心に約12組織の侵害が確認されている。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/bambootoken-malware-controls-windows-and-linux-systems-via-mqtt/,high,false,yes
2026-09-16_woocommerce_wholesale_lead_capture_active_exploitation,2026-09-16,2026-W38,2026-09,active_exploitation,WooCommerceプラグインの重大脆弱性CVE-2026-27540が積極的に悪用,WordPress向け有料プラグイン「WooCommerce Wholesale Lead Capture」の重大な脆弱性CVE-2026-27540が実環境で悪用されている。2.0.3.1以前は未認証AJAX処理のファイル種別検証不備によりPHP Webシェルをアップロードされ任意コード実行が可能で、Wordfenceは10万件超の悪用試行を遮断した。修正版は2026年2月20日公開の2.0.3.2。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/hackers-target-wordpress-sites-via-third-party-woocommerce-plugin/,high,false,yes
2026-09-16_vmware_vcenter_cve_2026_59310_ransomware_exploitation,2026-09-16,2026-W38,2026-09,active_exploitation,CISA、VMware vCenterの重大RCE脆弱性のランサムウェア悪用を確認,CISAは、VMware vCenter Serverのディレクトリトラバーサル脆弱性CVE-2026-59310がランサムウェア集団による攻撃でも悪用されているとしてKEVカタログを更新した。未認証のリモート攻撃者が任意コード実行可能で、Broadcomの7月29日の修正後にAPTとみられる攻撃者が悪用を開始し、47カ国361件以上のIPに関連する侵害が確認されている。初期の攻撃ではreverse_sshが展開された。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/cisa-critical-vmware-vcenter-rce-flaw-now-exploited-by-ransomware-gangs/,high,false,yes
2026-09-16_black_axe_members_extradited_us,2026-09-16,2026-W38,2026-09,takedown,Black Axe幹部とされる5人、米国へ引き渡されサイバー犯罪で起訴,Black Axeサイバー犯罪組織の幹部とされる5人が南アフリカから米国へ引き渡され、通信詐欺やマネーロンダリングなどの罪に問われている。5人は2011年から2021年にケープタウンを拠点に前払い金詐欺やロマンス詐欺を組織的に実行し、偽名・SNS・出会い系サイト・VoIP番号で米国の被害者に接触、支払いを拒む被害者にはセンシティブな写真の公開を示唆して送金を強要したとされる。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/black-axe-gang-members-extradited-to-us-face-cybercrime-charges/,high,false,maybe
2026-09-16_cisco_secure_email_gateway_zero_day_exploited,2026-09-16,2026-W38,2026-09,active_exploitation,Cisco、攻撃で悪用されたSecure Email Gatewayのゼロデイを修正,CiscoはSecure Email Gateway(SEG)の重大なゼロデイ脆弱性CVE-2026-76461が実際の攻撃で悪用されているとして修正適用を警告した。AsyncOSのメール解析処理の入力検証不備により、未認証のリモート攻撃者が悪意あるSQL文を含む細工したメールを送るだけで任意SQL実行、最終的に基盤OS上でroot権限の任意コマンド実行が可能になる。CISAはKEVに追加し連邦機関に2026年9月17日までの修正を義務付けた。,daily-news/news/2026_07-09/20260916.md,https://www.bleepingcomputer.com/news/security/new-cisco-secure-email-zero-day-exploited-to-execute-commands-as-root/,high,false,yes
2026-09-16_iran_mois_heavygram_telegram_surveillance,2026-09-16,2026-W38,2026-09,malware_campaign,イランMOIS関連アクター、Telegram制御型マルウェアで反体制派を監視,米英蘭のサイバーセキュリティ機関は、イラン情報省(MOIS)がHEAVYGRAM／CHOSEN BRICKを使い反体制派やジャーナリスト、活動家を監視していると報告した。知人や技術サポートを装いPictory、KeePass、Telegram、RunwayMLなど正規アプリに偽装したWindowsマルウェアを実行させ、端末ごとに固有のTelegram BotをC2として画面・音声・パスワード・メール等を収集する。レジストリRunキーで永続化しMicrosoft Defenderの除外設定で検知を回避する。,daily-news/news/2026_07-09/20260916.md,https://thehackernews.com/2026/09/iranian-hackers-use-telegram-controlled.html,high,false,yes
2026-09-16_rotating_malware_infrastructure_detection_gap,2026-09-16,2026-W38,2026-09,security_research,ローテーション型インフラを検知ギャップにしないための調査・提言,ドメインやホスティング、配信経路が頻繁に変わるため単一IOCの遮断だけでは継続的な検知が難しいと指摘された。ANY.RUNが調査したRMMフィッシングは46カ国に広がり425のキットURLと240ホストのうち94%が1日しか観測されず、3DBlastフィッシングキットはMicrosoft 365やGoogleを偽装しBitB、OAuth、AiTM、DOM relayなどを組み合わせている。最新IOCのSIEM・SOAR・TIP連携と、関連インフラや過去活動の文脈を伴う調査サイクルが推奨されている。,daily-news/news/2026_07-09/20260916.md,https://cybersecuritynews.com/how-to-keep-malwares-rotating-infrastructure-from-becoming-a-detection-gap/,medium,false,maybe
2026-09-16_vectrarat_fullstack_maas_discovered,2026-09-16,2026-W38,2026-09,malware_campaign,スクラッチ開発のフルスタックMaaS「VectraRAT」をSOCRadarが発見,SOCRadarは既存RATの派生ではなく独自開発されたMaaS「VectraRAT」を発見し、2026年6月以降10台超の関連サーバーと複数の攻撃キャンペーンを確認した。月額250ドルからHVNC、キーロガー、認証情報窃取、SOCKS5、クリップボード改ざん、UAC回避などを提供し、AmadeyローダーやTurboTaxを装うClickFixで配布され独自TCPプロトコルの3308番ポートでVectraHubと通信する。1週間未満の観測で38件の実被害セッションと8件の情報窃取が確認された。,daily-news/news/2026_07-09/20260916.md,https://socradar.io/blog/vectrarat-undocumented-stack-maas/?_sp=dfef40e2-a47b-46ec-b88e-6c05fb6b4858.1789504690473,high,false,yes
